,Momentum,Pooled ridge,Pooled GBDT,SPY,Equal-weight (PIT)
2013,1.91348764804708,-0.9272137341921971,0.6779755404471446,3.0531219869251207,0.2836923909876907
2014,1.5450732405161445,1.7744661130564654,2.481467903797574,1.590323834574703,0.9622581088882123
2015★,-0.4108788159137798,0.1197595014197229,0.20760317644592569,0.16078247492755962,-0.8902067609915522
2016,0.2902867618320209,1.1486120077723754,1.1486120077723754,1.1486120077723754,0.8924336176077486
2017,4.096031558011462,4.918515468211716,4.918515468211716,4.918515468211716,4.647741662966446
2018★,-0.10969661233923145,-0.29069500050199987,-0.35210185967034063,-0.3497331529097006,-0.9822428061276006
2019,0.8950543295047637,2.028979635655536,2.028979635655536,2.028979635655536,2.9495047600871493
2020★,1.7472734336303255,1.0639994246353301,0.9627973525451566,0.7557470025363076,0.8721840700612715
2021,2.6762795325718827,1.7023765036099439,1.6077652424216025,2.346820311654991,2.270067532338812
2022★,-1.009796146162046,-0.7227431083352777,-0.8179345637101344,-0.8179345637101344,-0.6501042801187465
2023,0.43719736217937566,1.086762834535783,1.3234815684915464,1.3310197956008167,0.8293101924807196
2024,1.467471833676016,1.0764852119394648,1.0263765384844086,1.6755415025410683,1.0080491324027014
2025,3.4107108441760183,1.2456370875785219,1.176354493624283,1.1793294525567815,3.4350529490523556
2026,0.9511328666522747,1.0469863186278825,0.620996913906997,1.0024536735324079,1.5262667390558233
