fold,n_train_rows,n_val_rows,gbdt_best_iter,gbdt_val_mse,ridge_alpha,ridge_val_mse,zero_pred_val_mse
test_2013-01-01,1794,630,13,0.0011968148533574923,1000000.0,0.0012018758612034417,0.0010892225240598055
test_2014-01-01,3355,756,77,0.00118755394200655,1.0,0.001203215111011231,0.0013194608507995417
test_2015-01-01,5119,756,76,0.001503930925463997,1000.0,0.001556616986094604,0.001654551104660819
test_2016-01-01,6883,774,4,0.0019014805973817817,100000.0,0.0019009300418251403,0.0019222896745690566
test_2017-01-01,8797,894,21,0.0014999286871039623,100.0,0.0015112330981892142,0.0016401783793630951
test_2018-01-01,10976,954,29,0.0005649715759066904,1000.0,0.0005580634854637097,0.0006055547602598677
test_2019-01-01,13235,954,1,0.0017491210533071432,1000000.0,0.0017470301952029158,0.0016892112601411067
test_2020-01-01,15485,972,279,0.001143236263921747,1000.0,0.0013411416516302568,0.0014017920077344756
test_2021-01-01,17781,1286,29,0.0016933059245138153,10000.0,0.001696516906695953,0.0017883040971092853
test_2022-01-01,20892,1404,74,0.0008801147501122206,100000.0,0.0009097359940852129,0.0009759589655026313
test_2023-01-01,24168,1391,499,0.002282264232658779,1.0,0.0026211943295097323,0.002613412034139767
test_2024-01-01,27431,1378,51,0.0012713405414479658,1000.0,0.0012645158449838259,0.0012897494763308899
test_2025-01-01,30681,1404,20,0.0011387619978173843,1000000.0,0.0011471130242163836,0.001224939660618328
test_2026-01-01,33931,1404,84,0.0007107601328643744,10000.0,0.0006847905999464439,0.0007102007557620788
