model,,IC,K,z
Momentum,2013-01-31,0.2571428571428572,6.0,0.574988908499946
Momentum,2013-02-28,0.25,7.0,0.6123724356957945
Momentum,2013-03-31,0.3214285714285715,7.0,0.7873359887517359
Momentum,2013-04-30,0.39285714285714296,7.0,0.9622995418076773
Momentum,2013-05-31,0.3571428571428572,7.0,0.8748177652797066
Momentum,2013-06-30,0.25,7.0,0.6123724356957945
Momentum,2013-07-31,-0.6785714285714287,7.0,-1.6621537540314424
Momentum,2013-08-31,0.7142857142857144,7.0,1.7496355305594131
Momentum,2013-09-30,0.8571428571428573,7.0,2.099562636671296
Momentum,2013-10-31,0.8928571428571429,7.0,2.187044413199266
Momentum,2013-11-30,0.8571428571428573,7.0,2.099562636671296
Momentum,2013-12-31,-0.8571428571428573,7.0,-2.099562636671296
Momentum,2014-01-31,0.28571428571428575,7.0,0.6998542122237652
Momentum,2014-02-28,-0.07142857142857144,7.0,-0.1749635530559413
Momentum,2014-03-31,0.1785714285714286,7.0,0.4374088826398533
Momentum,2014-04-30,0.7857142857142859,7.0,1.9245990836153546
Momentum,2014-05-31,0.10714285714285716,7.0,0.262445329583912
Momentum,2014-06-30,-0.42857142857142866,7.0,-1.049781318335648
Momentum,2014-07-31,0.21428571428571433,7.0,0.524890659167824
Momentum,2014-08-31,0.07142857142857144,7.0,0.1749635530559413
Momentum,2014-09-30,0.8928571428571429,7.0,2.187044413199266
Momentum,2014-10-31,0.9285714285714288,7.0,2.2745261897272373
Momentum,2014-11-30,0.28571428571428575,7.0,0.6998542122237652
Momentum,2014-12-31,0.14285714285714288,7.0,0.3499271061118826
Momentum,2015-01-31,-0.42857142857142866,7.0,-1.049781318335648
Momentum,2015-02-28,0.42857142857142866,7.0,1.049781318335648
Momentum,2015-03-31,-0.7500000000000002,7.0,-1.8371173070873839
Momentum,2015-04-30,-0.10714285714285716,7.0,-0.262445329583912
Momentum,2015-05-31,-0.28571428571428575,7.0,-0.6998542122237652
Momentum,2015-06-30,0.42857142857142866,7.0,1.049781318335648
Momentum,2015-07-31,-0.3214285714285715,7.0,-0.7873359887517359
Momentum,2015-08-31,0.9285714285714288,7.0,2.2745261897272373
Momentum,2015-09-30,-0.8571428571428573,7.0,-2.099562636671296
Momentum,2015-10-31,0.7857142857142859,7.0,1.9245990836153546
Momentum,2015-11-30,0.28571428571428575,8.0,0.7559289460184546
Momentum,2015-12-31,0.14285714285714288,8.0,0.3779644730092273
Momentum,2016-01-31,-0.023809523809523815,8.0,-0.06299407883487122
Momentum,2016-02-29,-0.8095238095238096,8.0,-2.1417986803856213
Momentum,2016-03-31,-0.2380952380952381,8.0,-0.6299407883487121
Momentum,2016-04-30,-0.5952380952380953,8.0,-1.5748519708717805
Momentum,2016-05-31,0.6904761904761906,8.0,1.8268282862112653
Momentum,2016-06-30,-0.4285714285714286,8.0,-1.133893419027682
Momentum,2016-07-31,-0.6904761904761906,8.0,-1.8268282862112653
Momentum,2016-08-31,-0.4761904761904762,8.0,-1.2598815766974243
Momentum,2016-09-30,-0.5952380952380953,8.0,-1.5748519708717805
Momentum,2016-10-31,0.15,9.0,0.4242640687119285
Momentum,2016-11-30,0.6,9.0,1.697056274847714
Momentum,2016-12-31,-0.38333333333333336,9.0,-1.084230397819373
Momentum,2017-01-31,0.16666666666666669,9.0,0.4714045207910318
Momentum,2017-02-28,0.21666666666666667,9.0,0.6128258770283412
Momentum,2017-03-31,0.18333333333333335,9.0,0.5185449728701349
Momentum,2017-04-30,0.43333333333333335,9.0,1.2256517540566825
Momentum,2017-05-31,0.5333333333333333,9.0,1.5084944665313014
Momentum,2017-06-30,0.21666666666666667,9.0,0.6128258770283412
Momentum,2017-07-31,-0.5833333333333334,9.0,-1.649915822768611
Momentum,2017-08-31,0.5166666666666667,9.0,1.4613540144521984
Momentum,2017-09-30,0.7,9.0,1.9798989873223332
Momentum,2017-10-31,0.75,9.0,2.121320343559643
Momentum,2017-11-30,0.15,9.0,0.4242640687119285
Momentum,2017-12-31,0.9166666666666666,9.0,2.592724864350674
Momentum,2018-01-31,-0.18333333333333335,9.0,-0.5185449728701349
Momentum,2018-02-28,-0.8499999999999999,9.0,-2.4041630560342613
Momentum,2018-03-31,0.8333333333333333,9.0,2.3570226039551585
Momentum,2018-04-30,0.45,9.0,1.2727922061357857
Momentum,2018-05-31,-0.21666666666666667,9.0,-0.6128258770283412
Momentum,2018-06-30,0.6,9.0,1.697056274847714
Momentum,2018-07-31,0.8166666666666667,9.0,2.3098821518760553
Momentum,2018-08-31,0.35,9.0,0.9899494936611666
Momentum,2018-09-30,-0.8333333333333333,9.0,-2.3570226039551585
Momentum,2018-10-31,0.016666666666666666,9.0,0.04714045207910317
Momentum,2018-11-30,-0.31666666666666665,9.0,-0.8956685895029602
Momentum,2018-12-31,-0.5499999999999999,9.0,-1.5556349186104044
Momentum,2019-01-31,-0.6333333333333333,9.0,-1.7913371790059205
Momentum,2019-02-28,0.21666666666666667,9.0,0.6128258770283412
Momentum,2019-03-31,0.31666666666666665,9.0,0.8956685895029602
Momentum,2019-04-30,-0.3666666666666667,9.0,-1.0370899457402698
Momentum,2019-05-31,-0.16666666666666669,9.0,-0.4714045207910318
Momentum,2019-06-30,0.75,9.0,2.121320343559643
Momentum,2019-07-31,0.48333333333333334,9.0,1.367073110293992
Momentum,2019-08-31,-0.6666666666666667,9.0,-1.8856180831641272
Momentum,2019-09-30,-0.06666666666666667,9.0,-0.18856180831641267
Momentum,2019-10-31,-0.16666666666666669,9.0,-0.4714045207910318
Momentum,2019-11-30,0.11666666666666665,9.0,0.3299831645537222
Momentum,2019-12-31,-0.19999999999999998,9.0,-0.565685424949238
Momentum,2020-01-31,-0.2333333333333333,9.0,-0.6599663291074443
Momentum,2020-02-29,0.6666666666666667,9.0,1.8856180831641272
Momentum,2020-03-31,-0.13333333333333333,9.0,-0.37712361663282534
Momentum,2020-04-30,-0.6833333333333333,9.0,-1.9327585352432302
Momentum,2020-05-31,0.06666666666666665,10.0,0.19999999999999996
Momentum,2020-06-30,0.4090909090909091,11.0,1.2936590427961554
Momentum,2020-07-31,0.13636363636363638,11.0,0.4312196809320518
Momentum,2020-08-31,-0.3727272727272728,11.0,-1.1786671278809417
Momentum,2020-09-30,-0.5439560439560439,13.0,-1.884319010432075
Momentum,2020-10-31,0.21978021978021978,13.0,0.76134101431599
Momentum,2020-11-30,0.4230769230769231,13.0,1.4655814525582807
Momentum,2020-12-31,0.33516483516483514,13.0,1.1610450468318847
Momentum,2021-01-31,0.521978021978022,13.0,1.8081849090004762
Momentum,2021-02-28,0.7307692307692307,13.0,2.5314588726006666
Momentum,2021-03-31,0.24175824175824176,13.0,0.8374751157475889
Momentum,2021-04-30,0.3021978021978022,13.0,1.0468438946844862
Momentum,2021-05-31,-0.0934065934065934,13.0,-0.3235699310842957
Momentum,2021-06-30,-0.2857142857142857,13.0,-0.9897433186107869
Momentum,2021-07-31,0.2967032967032967,13.0,1.0278103693265865
Momentum,2021-08-31,-0.18131868131868134,13.0,-0.6281063368106918
Momentum,2021-09-30,0.6263736263736264,13.0,2.1698218908005713
Momentum,2021-10-31,-0.5824175824175823,13.0,-2.017553687937373
Momentum,2021-11-30,0.3516483516483516,13.0,1.2181456229055838
Momentum,2021-12-31,-0.2747252747252747,13.0,-0.9516762678949874
